Name,Author,Suggest for blog,Year,Month,Program,Theme,Created by,Last Updated,Original Document (Google Doc),Suggest for program mailing
The Spectrum by Jeff Wager,,No,2017,,Word Theme Essay,https://www.notion.so/The-Spectrum-543669cd27e34d58b95494be0cadd2a8,Ryan Clover,"February 21, 2021 4:48 AM",,No
"""Two Young Women"" by Robert Bartlett Sr.",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1VSJZI7xYge5TVy1yelEenwQN7FPjNfVYHE356SHqWas/edit,No
"""Two Girls One Cigarette"" by Eric Whisnant",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1V0hAdXTyeD04EFWCuASmf6xk5ANb8QtP5z4sRgPrMEU/edit,No
Untitled by Gerald Durst,,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1XAi4iBt1-IeW5nNJwuVSieM5giYZDfKdQaBd0BXXCBU/edit,No
"""Dreams"" by James Maciak",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1qZlggz2h6l81RpQY-xdI7nx_BGSMZPvQ4tVLV6t0sK0/edit,No
Untitled by Steven Lee Adkins Jr.,,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1Y_8CIaNLyDRbIp1vMtDDbXMLaXl3yzSXeGdEa_uDBxQ/edit,No
Untitled by Desiree Bane,,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1TrWJd0uL1-ylhBT76Z6N9951WZeLRAepBpbSQkQHXXw/edit,No
"""What?"" by Marvin Calvin Jones",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1gtheDw72q3WI-Z0b81mv6ADGdgzABXU3Mv-MleLcI8A/edit,No
Untitled by Jason Harmon,,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1RfG79zh0usSDqzr1lV_SK204G_wqCUkGupVhBezQXpc/edit,No
Untitled By Brad Perkins,,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1Eoi4H32F6idTLlQRc2krdNDXjMxyJK16xpGscWPpm34/edit,No
"""Hey I’m Pregnant"" by Jeremy Brown",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1nkOrQWx3bfdJ8d_ZNhv9etmTPc2O5odBGZdjnCcNNrE/edit,No
Untitled by Raymond Springs,,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1BgnyZkQfbvns9cd5yTace8WvA4_WzCZUj9MTtgAEoWU/edit,No
"""The Doll Hospital"" by Catherine LaFleur",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1BGQIs6QbSe34btoUiRNDOJV7r0iLv_BzXoDn44NZihc/edit,No
"""Girlfriends of Modern Womanhood"" by Tommy Hightower",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1nlrWxOSKCaQFnR-WbLvIg_kxFlMQTZxilxv65dwWDO4/edit,No
"""2 BROKE CHICKS"" by Fermin Fuentes",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1lPGIOc8QbR7qNVrvmcPficgCc52OCpckK4gu5HHGaGw/edit,No
"""A Blended World"" by Michael Lanning",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1ViupIRy-2FO0iDEo2RKylzQzvdNRyir2dqARjx9afFQ/edit,No
"""Lot Lizards"" by Curtis Colvin",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1vAbY_txQQA2YmvOUxcNGwiIbhRJBTCCDBTaE6kkJnk4/edit,No
"""The Most Interesting Girl in the World"" by Delvin Diles",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1Ve3mPRLQR8ZX6e0Uhuih3gUmDiG2WR2f0BJyc4TU5Wk/edit,No
"""A Good Drive"" by Abraham Divine",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1VH0_x2-AFNQ13UuDVR3iv557mrQ60EoISC0-L1SWZFY/edit,No
Untitled By Red Dot,,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/15V4TH5WsnLtvr6f0HGpWjcXGhEPujL-IlTC3lGtCor4/edit,No
"""Plan Parenthood"" by Colin Vanbilliard",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1GBIw1vB1ptvzJAGY8QhUs-E34ktok4uEogmjMWKMWbA/edit,No
"""Guardian Angel"" by Richard Watts",,No,2016,05 - May,Picture Essay,https://www.notion.so/Two-Women-picture-3c434cfd69134156b273e517b3ab35a9,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1Yug2ZjZNSt51HRFkmi9QJdOlai06HdNalLuzFmFeLYY/edit,No
“Tendrils of Energy” by Jeremy Brown,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1E74UbzSbVmxrs8Ir-c8fxjLqfvMAwjuexmXNeJvdFyQ/edit,No
“Black-Eyed Lust” by Chad Frank,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1Xv_A8T-VWgJK2yNUEZGFAuEb4A7xqloMPLU4b4xfTmk/edit,No
Untitled by Steven Arthur,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1JO75Li9mxVJoRJKasxtwNMLm1ildYAouDkX2KkA-Xls/edit,No
“Left Bad Tail” by Abraham Divine,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1R_eVZmzcDQcnGownKWWlEspTRq5AaxKrFw_R-Yo_pKU/edit,No
“Peer Pressure” by Richard Watts,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1RG-ASiKT-vxnPKpI2Nb-gneRuKxu9VkEg9nSp0f2HSs/edit,No
“Twins” by Robert Bartlett,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1RUYOPMSzvvTXfdG1x-ApmFRv4wfn17pCUGv6Nx-NkPw/edit,No
“Unbraid Our Hair With Understanding” by Robert Clayton,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1TmnAArdU2BWfXWUj9pzSugEOiKGp_qI6vZUxz2Uka0s/edit,No
“Separation Anxiety!” by Danny Pilkinton,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1cpHcQ8nT48bcc0GfNTFX6yLYQQR7qlujYoo7vEdqpTQ/edit,No
